C1,C2,C3,C4,C5,C6,C7,C8,N1,N2,N3,N4,N7,N8,N9,N10,N10.1,N11,N12,N14,N15,N16,N17,N18,N19,N21,N22,N23,N24,N33,N35,Dependent_Variable
1,7,13,0,2,True,1,True,35.0,355.0,3.2,9.0,51.0,8,559,6.0,1.0,1.0,8545.0,0.0,0.0,0.0,17228.0,0.79,3439.0,0.7,0.0,30.0,12083.33333,30.0,26.0,1
1,1,6,27,1,False,2,True,31.77,104.0,3.3,8.0,13.0,5,664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16240.0,0.99,80.0,1.0,1.0,52.0,4583.333333,70.0,11.0,0
1,1,7,16,2,True,6,True,14.2,90.0,3.4,22.0,62.0,18,2375,0.0,2.0,9.0,0.0,0.0,0.0,0.0,150857.0,0.95,6931.0,1.0,0.0,102.0,6333.333333,60.0,20.0,0
1,0,3,19,4,True,7,False,10.59,101.0,3.6,12.0,21.0,9,292,0.0,4.0,18.0,0.0,0.0,1.0,0.0,3330.0,0.22,11228.0,0.9,1.0,2002.0,0.083333,20.0,19.0,0
1,0,2,0,0,False,0,True,17.5,,3.0,,18.0,6,239,0.0,11.0,26.0,,0.0,0.0,,,,,,,32.0,5683.333333,188.0,12.0,0
1,0,19,58,0,False,0,True,29.0,,2.4,,18.0,1,10,6.0,2.0,4.0,,12.0,0.0,,,,,,,20.0,666.666667,21.0,11.0,1
1,4,2,1,2,False,3,False,35.0,37.0,2.6,12.0,17.0,5,88,0.0,29.0,56.0,0.0,0.0,0.0,0.0,1524.0,0.97,19.0,0.78,4.0,,0.0,60.0,9.0,1
1,6,5,35,1,True,2,True,25.99,109.0,3.6,9.0,20.0,5,198,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4520.0,0.67,324.0,0.94,1.0,46.0,4166.666667,80.0,12.0,1
1,7,3,16,2,True,4,True,18.9,131.0,3.3,8.0,33.0,5,180,0.0,0.0,7.0,0.0,17.0,1.0,0.0,7353.0,0.92,569.0,0.65,0.0,60.0,3524.416667,40.0,24.0,0
1,0,14,1,2,True,4,True,17.0,97.0,3.2,8.0,18.0,4,113,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1153.0,0.71,449.0,0.66,3.0,22.0,2583.333333,100.0,17.0,0
1,1,14,35,2,False,2,True,10.95,140.0,3.7,9.0,19.0,7,150,1.0,0.0,5.0,0.0,3.0,0.0,0.0,1830.0,0.06,9843.0,0.66,0.0,32.0,4416.666667,70.0,21.0,0
1,0,2,31,0,True,0,True,20.8,,3.3,,21.0,8,148,1.0,12.0,32.0,,8.0,2.0,,,,,,,38.0,6666.666667,60.0,21.0,0
1,3,15,4,2,True,4,True,11.0,20.0,3.6,5.0,19.0,2,75,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,1.0,0.0,38.0,2104.0,200.0,14.0,0
1,0,0,35,2,False,2,True,8.31,88.0,3.0,5.0,15.0,3,20,0.0,1.0,4.0,0.0,6.0,0.0,0.0,1908.0,0.95,32.0,0.58,2.0,54.0,5457.833333,400.0,14.0,0
2,1,6,1,1,False,2,True,23.33,151.0,3.2,6.0,37.0,5,94,0.0,1.0,10.0,0.0,25.0,1.0,0.0,759.0,0.53,582.0,0.74,1.0,8.0,5416.666667,80.0,20.0,0
2,6,12,23,1,False,1,True,18.99,90.0,3.8,7.0,12.0,4,106,0.0,2.0,5.0,0.0,0.0,1.0,0.0,1271.0,0.05,4781.0,0.8,0.0,20.0,10333.33333,252.8,19.0,1
1,0,0,31,0,False,0,True,14.92,,,,,0,0,,,,,,,,,,,,,45.306,2500.0,130.0,,0
1,7,19,17,2,True,4,True,27.4,32.0,3.7,2.0,10.0,1,15,0.0,0.0,2.0,0.0,0.0,1.0,0.0,243.0,0.48,257.0,0.75,0.0,12.0,3166.666667,84.0,31.0,0
1,9,35,0,1,True,1,True,22.87,1.0,3.2,5.0,16.0,0,0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,26.0,8333.333333,86.0,14.0,0
1,1,14,42,2,True,4,True,8.55,57.0,3.5,10.0,20.0,7,170,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5057.0,0.3,7601.0,0.88,2.0,24.0,3833.333333,40.0,16.0,0
1,0,0,31,0,False,0,True,23.75,,2.4,,38.0,0,0,12.0,0.0,,,,0.0,,,,,,,22.348,2166.666667,20.0,14.0,1
1,7,2,8,1,False,4,True,20.99,83.0,3.5,2.0,45.0,1,25,0.0,4.0,10.0,0.0,45.0,1.0,1.0,304.0,0.3,696.0,0.93,1.0,12.0,4000.0,100.0,15.0,0
1,1,3,1,1,False,7,True,25.99,34.0,3.2,7.0,14.0,7,214,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5881.0,0.9,482.0,0.88,0.0,52.0,1637.583333,80.0,12.0,1
1,0,1,14,2,False,4,True,13.15,120.0,3.3,1.0,3.0,1,10,1.0,2.0,7.0,178.0,0.0,1.0,0.0,0.0,0.0,300.0,0.33,0.0,8.0,3333.333333,80.0,19.0,1
1,1,20,7,2,False,4,True,14.89,23.0,3.2,7.0,13.0,4,85,0.0,0.0,1.0,0.0,9.0,0.0,0.0,2563.0,0.78,217.0,0.83,1.0,76.0,2250.0,60.0,13.0,0
1,1,10,1,1,True,6,True,31.99,89.0,3.4,11.0,32.0,8,872,0.0,2.0,4.0,0.0,0.0,0.0,0.0,27928.0,0.93,2073.0,0.96,0.0,46.0,6286.666667,80.0,18.0,0
1,0,7,1,4,False,4,True,19.95,168.0,2.8,1.0,37.0,0,0,10.0,2.0,7.0,13315.0,15.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,40.0,3316.666667,30.0,25.0,0
1,2,7,41,1,True,6,True,27.5,106.0,3.5,10.0,42.0,5,614,0.0,1.0,5.0,0.0,0.0,0.0,0.0,17826.0,1.0,162.0,1.0,0.0,36.0,6416.666667,80.0,23.0,0
1,0,0,38,0,False,0,True,29.0,,2.8,,36.0,11,234,0.0,4.0,24.0,,0.0,0.0,,,,,,,64.0,3562.5,190.0,20.0,0
1,1,43,1,2,False,7,True,30.97,7.0,3.3,11.0,24.0,7,163,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1990.0,0.5,1915.0,0.68,0.0,142.0,2000.0,70.0,16.0,0
1,1,26,18,1,False,4,True,28.49,4.0,3.3,12.0,23.0,8,520,0.0,3.0,5.0,0.0,0.0,0.0,0.0,16564.0,0.9,622.0,1.0,4.0,92.0,3750.0,200.0,9.0,0
1,13,34,57,4,True,1,False,31.77,152.0,3.4,9.0,28.0,6,1180,0.0,1.0,2.0,0.0,2.0,0.0,0.0,83834.0,0.93,4880.0,1.0,0.0,,8483.333333,80.0,22.0,0
1,0,0,44,2,True,1,True,11.0,396.0,3.6,21.0,42.0,13,1420,0.0,5.0,16.0,0.0,0.0,1.0,0.0,161755.0,0.22,25249.0,1.0,2.0,50.0,12644.83333,100.0,40.0,0
1,7,35,0,1,True,2,True,31.08,138.0,3.5,16.0,27.0,13,455,0.0,2.0,10.0,0.0,0.0,1.0,0.0,4614.0,0.25,8015.0,0.96,1.0,58.0,4583.333333,150.0,14.0,0
1,0,34,1,0,False,0,True,11.8,,3.5,,29.0,10,282,0.0,0.0,10.0,,3.0,1.0,,,,,,,44.0,3541.666667,50.0,16.0,0
1,0,30,31,0,False,0,True,22.75,,0.0,,,0,0,,,,,,,,,,,,,,1833.333333,120.02,,1
1,4,10,1,7,False,7,True,7.95,375.0,3.6,5.0,7.0,5,142,0.0,1.0,12.0,0.0,0.0,0.0,0.0,5929.0,0.93,19.0,1.0,0.0,18.0,1937.5,20.0,26.0,0
3,7,1,12,1,False,2,True,26.69,104.0,3.4,1.0,28.0,1,0,0.0,0.0,2.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,12.0,4750.0,60.0,18.0,0
1,7,1,1,1,False,7,False,31.99,61.0,3.8,2.0,2.0,1,25,0.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,0.01,2870.0,1.0,0.0,,1500.0,70.0,8.0,0
1,4,40,11,2,False,4,True,34.45,7.0,2.7,6.0,16.0,5,31,4.0,11.0,11.0,1724.0,13.0,0.0,0.0,1389.0,0.86,241.0,0.53,3.0,44.0,3083.333333,30.0,41.0,0
1,3,32,1,7,True,2,True,7.15,9.0,4.0,14.0,31.0,8,1122,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51943.0,0.43,67857.0,1.0,1.0,72.0,5000.0,60.0,41.0,0
1,1,2,6,1,False,4,True,25.66,0.0,3.2,3.0,14.0,1,259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9789.0,0.98,111.0,0.8,0.0,26.0,3000.0,60.0,32.0,1
1,7,30,15,2,True,1,True,10.3,77.0,4.2,4.0,29.0,4,91,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4210.0,0.22,14290.0,0.92,0.0,12.0,10000.0,300.0,34.0,0
1,1,19,14,1,True,2,True,13.9,90.0,3.8,16.0,51.0,13,335,0.0,0.0,4.0,0.0,0.0,1.0,0.0,6007.0,0.14,35293.0,1.0,1.0,70.0,5500.0,420.0,19.0,0
1,1,9,26,2,False,1,True,11.1,10.0,3.6,15.0,28.0,10,317,0.0,0.0,5.0,0.0,3.0,0.0,0.0,10158.0,0.42,13642.0,0.84,0.0,26.0,10416.66667,240.0,16.0,0
1,1,38,30,2,False,2,True,7.95,8.0,3.8,4.0,4.0,3,136,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5159.0,0.14,29431.0,1.0,0.0,16.0,4416.666667,120.0,12.0,0
1,7,30,13,2,False,4,True,19.9,24.0,3.2,4.0,9.0,2,44,0.0,0.0,7.0,0.0,8.0,0.0,0.0,1485.0,1.06,0.0,0.77,0.0,8.0,3625.0,24.0,11.0,0
1,1,6,0,2,True,6,True,14.5,36.0,3.4,15.0,27.0,5,271,0.0,3.0,7.0,0.0,0.0,0.0,0.0,12947.0,0.57,943.0,0.73,3.0,38.0,6666.666667,80.0,23.0,0
1,7,1,45,4,False,7,False,28.5,8.0,3.3,2.0,13.0,2,67,1.0,1.0,2.0,1660.0,5.0,0.0,0.0,2331.0,0.77,669.0,0.9,0.0,,1355.5,20.0,23.0,0
1,5,3,45,6,False,7,False,13.85,4.0,3.7,3.0,3.0,3,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2378.0,0.48,2557.0,1.0,0.0,,458.333333,50.0,31.0,0
1,0,0,19,2,True,2,True,13.0,14.0,3.6,11.0,16.0,7,253,0.0,1.0,9.0,0.0,0.0,0.0,0.0,21907.0,0.68,9893.0,1.0,1.0,50.0,4458.333333,216.0,13.0,0
1,3,23,1,7,True,4,True,8.45,42.0,4.1,18.0,57.0,16,605,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21088.0,0.18,94912.0,1.0,0.0,56.0,3559.0,240.0,34.0,0
2,1,19,1,1,False,4,True,18.45,49.0,3.8,11.0,21.0,12,234,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4344.0,0.23,13730.0,0.95,3.0,38.0,3333.333333,300.0,28.0,0
1,1,3,35,2,True,2,True,9.2,153.0,3.6,9.0,19.0,6,449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26290.0,0.72,7081.0,1.0,0.0,40.0,4750.0,130.0,17.0,0
1,1,2,12,1,True,2,True,31.77,92.0,3.8,24.0,52.0,6,95,0.0,4.0,24.0,0.0,0.0,0.0,0.0,1250.0,0.0,2500.0,1.0,6.0,58.0,5333.333333,80.0,22.0,0
1,2,3,17,1,False,4,True,31.77,337.0,3.4,15.0,46.0,14,987,0.0,4.0,19.0,0.0,0.0,0.0,0.0,44664.0,0.47,48729.0,1.0,1.0,130.0,2702.166667,60.0,30.0,1
1,1,19,4,2,False,2,True,23.99,122.0,3.5,11.0,30.0,7,81,2.0,2.0,8.0,9055.0,5.0,0.0,0.0,640.0,0.08,6009.0,0.93,3.0,28.0,4275.0,80.0,14.0,0
1,6,20,42,2,True,4,True,14.05,39.0,3.6,7.0,16.0,6,378,0.0,1.0,3.0,0.0,0.0,0.0,0.0,22053.0,0.56,17047.0,1.0,0.0,50.0,2833.333333,200.0,16.0,0
1,3,7,33,4,False,6,False,27.45,142.0,3.6,11.0,23.0,11,401,0.0,2.0,4.0,0.0,0.0,0.0,0.0,14437.0,0.27,32764.0,1.0,1.0,,7500.0,60.0,26.0,0
1,1,6,28,1,True,2,True,8.99,72.0,4.0,12.0,32.0,12,433,0.0,2.0,3.0,0.0,0.0,0.0,0.0,9346.0,0.17,44854.0,1.0,1.0,22.0,5416.666667,110.0,22.0,0
2,1,6,0,1,True,2,True,26.05,41.0,3.4,16.0,41.0,11,520,0.0,1.0,4.0,0.0,6.0,0.0,0.0,18845.0,0.78,5177.0,0.89,0.0,74.0,4166.666667,200.0,14.0,0
1,0,0,6,2,True,1,True,8.5,26.0,3.8,10.0,27.0,5,335,0.0,0.0,14.0,0.0,0.0,1.0,0.0,14294.0,0.6,9206.0,0.81,1.0,16.0,15416.66667,140.0,34.0,0
1,2,2,37,4,True,1,False,31.77,137.0,3.4,15.0,40.0,11,1047,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66641.0,0.97,1237.0,0.97,0.0,,15416.66667,80.0,32.0,1
1,7,7,34,4,True,4,False,28.0,53.0,3.5,4.0,7.0,3,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,2083.333333,20.0,43.0,0
1,1,18,9,2,False,4,True,31.95,28.0,3.2,7.0,31.0,0,0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.69,1.0,74.0,2666.666667,40.0,13.0,0
1,7,7,34,4,True,4,False,19.5,56.0,3.4,4.0,7.0,3,0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,2083.333333,20.0,43.0,0
1,7,3,1,2,False,4,True,35.0,12.0,2.6,1.0,49.0,0,0,23.0,3.0,18.0,161475.0,64.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,10.0,2472.916667,60.0,23.0,1
1,3,20,21,2,True,4,True,9.2,38.0,3.7,10.0,33.0,9,568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22144.0,0.6,13709.0,1.0,0.0,48.0,3041.666667,100.0,18.0,0
1,0,26,17,0,False,0,True,29.0,,2.8,,21.0,3,25,4.0,6.0,20.0,,31.0,0.0,,,,,,,22.0,5333.333333,80.0,14.0,1
1,1,2,5,2,False,7,True,16.25,2.0,3.2,9.0,19.0,6,249,0.0,2.0,5.0,0.0,1.0,0.0,0.0,6429.0,0.91,572.0,0.88,1.0,70.0,1250.0,40.0,20.0,1
1,2,8,29,2,True,1,True,23.0,367.0,3.3,18.0,43.0,14,951,0.0,1.0,4.0,0.0,0.0,1.0,0.0,31515.0,0.94,1547.0,0.97,0.0,40.0,9250.0,80.0,22.0,0
1,1,5,1,2,False,4,True,21.25,68.0,3.3,4.0,6.0,4,74,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1153.0,0.64,647.0,1.0,0.0,36.0,3583.333333,300.0,13.0,1
1,2,2,0,1,True,2,True,7.99,155.0,4.1,7.0,23.0,7,68,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1007.0,0.01,63893.0,1.0,0.0,38.0,4166.666667,260.0,17.0,0
1,1,8,1,2,False,7,True,35.0,19.0,3.1,15.0,81.0,6,234,4.0,7.0,19.0,1229.0,16.0,1.0,0.0,7877.0,0.92,600.0,0.76,0.0,126.0,2000.0,33.98,20.0,1
1,1,4,46,1,True,2,True,14.9,46.0,3.8,10.0,19.0,8,627,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20488.0,0.37,34113.0,1.0,1.0,50.0,6083.333333,300.0,28.0,0
1,1,49,1,4,False,3,False,14.2,117.0,3.4,2.0,2.0,2,258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8304.0,0.72,3196.0,1.0,0.0,,0.0,120.0,9.0,1
1,19,20,1,1,True,4,True,31.77,349.0,3.3,10.0,48.0,3,99,2.0,3.0,6.0,1454.0,20.0,1.0,0.0,3194.0,0.61,2013.0,0.82,0.0,36.0,2916.666667,50.0,29.0,0
1,3,24,15,4,True,1,False,33.0,26.0,3.2,15.0,26.0,12,704,0.0,2.0,8.0,0.0,0.0,0.0,0.0,34014.0,0.94,1826.0,0.95,1.0,,10000.0,40.0,15.0,0
1,2,13,15,1,True,1,True,26.99,89.0,3.9,12.0,32.0,6,1081,0.0,2.0,3.0,0.0,0.0,0.0,0.0,70833.0,0.38,30253.0,1.0,0.0,50.0,8908.333333,200.0,13.0,0
1,0,2,1,2,False,2,True,7.0,25.0,3.0,13.0,57.0,10,697,3.0,6.0,12.0,270.0,4.0,1.0,0.0,21365.0,1.02,80.0,0.56,5.0,1042.0,5833.333333,160.0,20.0,1
2,7,12,33,2,False,4,True,30.49,13.0,3.3,3.0,18.0,2,485,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23972.0,0.97,728.0,1.0,0.0,70.0,3833.333333,300.0,17.0,1
1,7,7,33,4,False,1,False,20.49,86.0,3.8,9.0,12.0,9,138,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2963.0,0.04,57910.0,1.0,2.0,,10000.0,100.0,21.0,0
1,2,22,1,1,False,2,True,21.59,32.0,3.3,11.0,30.0,5,593,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15306.0,0.97,584.0,0.94,0.0,66.0,6000.0,200.0,17.0,0
1,0,2,41,2,False,4,True,18.2,49.0,3.1,2.0,3.0,0,0,1.0,0.0,6.0,104.0,5.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,28.0,2611.833333,30.0,16.0,0
1,7,14,4,4,False,4,False,30.0,2.0,3.1,5.0,8.0,4,114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3655.0,0.94,195.0,0.37,0.0,,2333.333333,20.0,8.0,0
1,0,1,6,2,False,1,True,12.9,28.0,3.5,11.0,24.0,9,1847,0.0,1.0,2.0,0.0,2.0,0.0,0.0,68874.0,0.75,22192.0,0.91,1.0,40.0,16666.66667,400.0,25.0,0
1,15,18,4,1,False,4,True,31.77,14.0,3.3,7.0,15.0,3,647,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24844.0,1.0,57.0,1.0,0.0,66.0,3750.0,80.0,27.0,0
1,0,0,1,2,False,7,True,24.0,44.0,2.9,16.0,17.0,14,385,0.0,1.0,7.0,0.0,0.0,0.0,0.0,12009.0,0.91,906.0,1.0,2.0,290.0,833.333333,82.0,12.0,0
1,1,14,12,1,True,4,True,27.12,47.0,3.3,10.0,30.0,10,663,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18586.0,0.87,2125.0,0.96,2.0,60.0,3416.666667,80.0,19.0,0
1,0,0,31,0,False,0,True,22.75,,,,,0,0,,,,,,,,,,,,,56.602,2500.0,120.02,,0
1,13,38,6,1,False,1,True,29.58,291.0,3.3,4.0,52.0,2,25,0.0,2.0,3.0,0.0,69.0,1.0,0.0,265.0,0.53,235.0,0.5,0.0,26.0,10500.0,80.0,32.0,0
1,2,3,23,2,True,2,True,15.05,20.0,3.7,12.0,24.0,8,548,0.0,2.0,5.0,0.0,0.0,0.0,0.0,17110.0,0.64,9390.0,1.0,1.0,60.0,5416.666667,114.0,13.0,0
1,0,18,0,2,True,1,True,17.5,12.0,3.2,34.0,68.0,24,805,0.0,5.0,22.0,0.0,0.0,0.0,0.0,43433.0,0.68,16144.0,1.0,7.0,76.0,9030.0,340.0,22.0,1
1,0,2,10,2,True,2,True,28.95,89.0,2.7,9.0,33.0,7,167,1.0,2.0,6.0,0.0,13.0,2.0,0.0,5230.0,0.83,1153.0,0.72,3.0,14.0,5083.333333,90.0,36.0,1
1,0,2,35,2,True,4,True,8.15,78.0,3.6,6.0,13.0,4,62,0.0,4.0,7.0,0.0,1.0,0.0,0.0,2819.0,0.56,2181.0,0.9,0.0,12.0,2500.0,50.0,16.0,0
1,1,14,32,1,True,2,True,9.55,199.0,3.6,12.0,19.0,10,590,0.0,0.0,4.0,0.0,0.0,0.0,0.0,34917.0,0.49,11980.0,1.0,0.0,38.0,4290.0,190.0,25.0,0
1,7,1,12,2,False,4,True,25.75,59.0,3.4,6.0,8.0,3,125,0.0,1.0,3.0,0.0,3.0,1.0,1.0,10762.0,0.24,32252.0,0.71,1.0,46.0,2816.666667,120.0,10.0,0
1,0,0,1,0,False,0,True,29.0,,2.8,,30.0,2,35,1.0,2.0,3.0,,9.0,0.0,,,,,,,30.0,3000.0,56.0,18.0,0
1,0,0,31,0,False,0,True,17.0,,,,,0,0,,,,,,,,,,,,,59.702,5000.0,200.0,,0
1,7,23,16,2,False,6,True,14.85,118.0,3.2,4.0,25.0,2,53,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1791.0,0.89,209.0,0.9,1.0,30.0,7183.333333,100.0,33.0,0
1,1,45,0,2,False,6,True,10.87,35.0,3.2,6.0,11.0,3,147,0.0,0.0,8.0,0.0,0.0,0.0,0.0,22019.0,1.02,59.0,1.0,0.0,24.0,6250.0,100.0,10.0,0
1,1,20,41,2,True,2,True,13.9,8.0,3.4,18.0,29.0,16,1968,0.0,0.0,3.0,0.0,0.0,0.0,0.0,95636.0,0.64,53416.0,0.82,0.0,84.0,5333.333333,140.0,21.0,0
1,0,0,1,0,True,0,True,13.94,,3.2,,68.0,25,2700,0.0,2.0,10.0,,0.0,0.0,,,,,,,98.0,7083.333333,200.0,29.0,1
1,1,26,11,2,True,2,True,20.0,136.0,3.7,7.0,39.0,3,774,1.0,1.0,23.0,23802.0,4.0,0.0,0.0,17148.0,0.42,19261.0,0.92,0.0,64.0,4716.666667,180.0,27.0,1
1,0,5,0,2,False,4,True,29.0,31.0,2.8,10.0,23.0,6,144,6.0,2.0,7.0,1276.0,0.0,0.0,0.0,6215.0,0.79,1583.0,0.69,2.0,42.0,3532.333333,60.02,15.0,0
2,7,37,13,1,True,6,True,22.2,265.0,3.3,20.0,53.0,3,216,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7170.0,0.85,1184.0,1.0,4.0,40.0,6583.333333,100.0,20.0,0
1,5,16,8,2,True,2,True,11.96,410.0,4.0,7.0,21.0,5,62,6.0,3.0,8.0,380.0,37.0,1.0,1.0,1881.0,0.51,1019.0,0.8,1.0,12.0,5416.666667,170.0,36.0,0
1,0,0,19,2,False,7,True,23.0,52.0,3.1,6.0,6.0,5,122,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3741.0,0.74,929.0,1.0,2.0,90.0,1463.416667,160.0,10.0,0
